field_x,field_y,index_ra,index_dec,field_ra,field_dec,match_weight,mag_auto,flux_auto
1483.0214098925217,1243.8856927242787,0.09947500775947571,26.918230844110653,0.14541943929364315,26.924055411121497,0.9948402177243272,-11.832086563110352,54054.82421875
1454.0703607898458,1597.473196051577,0.45599082038666666,-3.0274802738487816,0.44776272087583013,-3.0234521258903513,0.9929501628017006,-13.134614944458008,179409.765625
1452.6292729470085,1631.2067739803074,0.48997278653146364,-6.013975825713043,0.38984227109782554,-5.9874400800887075,0.8275971460453394,-13.642391204833984,286389.125
1479.4831008771644,1241.8149002064883,0.5403080727950766,27.084399181374643,0.493394722274774,27.062195426761576,0.9933784269657592,-12.421916007995605,93060.734375
1446.1956272205607,1712.954223886075,0.5689044374585267,-13.407511672017636,0.6056604038430332,-13.404064053596576,0.9944756373668878,-11.036242485046387,25971.498046875
1443.5288524567131,1880.1138472153075,0.5829791720066043,-29.720446668655462,0.566185156716468,-29.727789378635123,0.9981075800348379,-12.696248054504395,119811.75
1460.0636636553959,1464.225111036592,0.6239763786752986,8.485575001730178,0.6223976937303007,8.466667631878742,0.999530457933137,-12.6462984085083,114424.5546875
1442.176994737493,1825.3621048459631,0.7825830550566645,-24.145136380247923,0.7498886189536719,-24.16257438853217,0.9936780050832366,-10.968216896057129,24394.212890625
1438.6193552587872,1745.4894320628498,1.0823469501356668,-16.528896681344584,1.128169004017169,-16.5123958129292,0.9888464087634843,-11.88042163848877,56515.6484375
1436.463481194703,1875.0773931511562,1.0845797319004227,-29.26882916603884,1.113409162560236,-29.259678117493866,0.9972641298143006,-11.405665397644043,36497.7578125
1440.4579729230904,1680.6591799102825,1.1255108376893375,-10.509494436734416,1.1160762032903444,-10.521212925573648,0.9978153706768886,-12.86756706237793,140290.046875
1480.6095376478552,1148.5299416914818,1.2218563944346386,34.65955500231715,1.2227059485968583,34.648550372558475,0.9964824109030627,-12.097870826721191,69047.5390625
1470.8960800726463,1245.759578693935,1.2330464013451203,26.648799729664436,1.2495097159201947,26.656039758312154,0.9970740782588072,-11.898079872131348,57442.30859375
1440.55927052707,1626.630162331521,1.333937226553376,-5.707823069651792,1.307885135115759,-5.699740424991511,0.9952909809229594,-13.30605697631836,210098.484375
1438.6260660337493,1648.6722409879264,1.3676330713488256,-7.665333055322737,1.3451102459279116,-7.673908723758303,0.9969066782662948,-11.117691993713379,27994.751953125
1437.5506471471185,1670.4528599536516,1.3796327765943661,-9.617304446373183,1.365882753410916,-9.614587722705268,0.9978961655162817,-10.890344619750977,22705.85546875
1454.1352082736526,1404.8270717059604,1.4247355627139848,13.39628139060434,1.4185846313524848,13.405780525563419,0.999401865760602,-12.593672752380371,109010.671875
1465.8049841388415,1270.7067676647102,1.4862891643753655,24.569042772927556,1.4962893249830722,24.56951794165244,0.9954447948473489,-11.212928771972656,30561.28125
1513.9489273143072,858.443510183595,1.5648113768103216,58.43669275534425,1.4868556694140784,58.42385120552616,0.983526586264525,-12.439993858337402,94623.2109375
1428.6503592066576,1813.671686422845,1.7084541791807535,-23.107430008114036,1.7472156524100326,-23.11630729549162,0.9919690475687214,-11.475805282592773,38933.3828125
1469.9492762548543,1183.7550990613759,1.896571679517823,31.669049735556527,1.8818345740875266,31.67484320311001,0.9980081290986524,-11.159256935119629,29087.255859375
1425.4886052820686,1913.6323614945463,2.0146472112107614,-33.52933362535503,2.01449155586619,-33.52827087234892,0.9964675977621809,-11.403005599975586,36408.4609375
1432.2384891483607,1589.3078827051336,2.0503855509427216,-2.44769861112461,2.088061413325193,-2.487984413117599,0.986703896851353,-12.738143920898438,124525.3046875
1427.218791619141,1660.985117663894,2.073128598700611,-8.824029990925991,2.1353919528473044,-8.84965664655036,0.9758824035244219,-12.313172340393066,84191.6328125
1466.0,1217.0,2.0965333380484834,29.09082803613451,2.119582741400409,28.909229974637828,0.9885702856179924,-12.912038803100586,146155.625
1475.2587122519087,1123.6283296959073,2.170909160646027,36.62742693475729,2.036395017588247,36.61071206492331,0.9425152724475234,-11.4873685836792,39350.25390625
1457.842416414678,1258.6855863507542,2.216970010663502,25.46285581944315,2.2737782084829945,25.471030050577866,0.9918180974343828,-11.896439552307129,57355.62109375
1460.3969090951139,1224.6324799889426,2.2506566572872853,28.247555548865616,2.3496803073958326,28.26240422209889,0.8765940790412934,-11.438526153564453,37619.27734375
1510.4226501249725,849.2959934561454,2.2921471967363365,59.15019445984317,2.255786919262788,59.138811726517154,0.985275433532455,-15.01978588104248,1018390.9375
1420.476779661972,1861.3383926693496,2.337149997005599,-27.987965829846043,2.316221567686366,-27.988628678551784,0.9972723668440358,-12.10689640045166,69623.921875
1438.541115363446,1430.069593781371,2.5091097239272333,11.145809161644435,2.519523199757709,11.154290038310354,0.9994724707303115,-12.638026237487793,113556.1171875
1423.5969928400016,1619.8445024058003,2.578541675423817,-5.248521110208502,2.57849771111565,-5.231943327648316,0.9948016758763992,-12.354039192199707,87420.9765625
1485.1649446682995,1007.821515970902,2.5801769530742105,46.0722702898704,2.582289884592498,46.06854208739684,0.9990185998816077,-13.386364936828613,226227.84375
1462.7204271222017,1164.597853633325,2.635063314210971,33.130887510960314,2.768431840204856,33.1409901674112,0.6552772887350494,-10.009195327758789,10085.05078125
1418.5527860574025,1701.1297805660583,2.678129998075091,-12.579806658670549,2.679752488284232,-12.573127184195672,0.9961809056863151,-11.915026664733887,58345.96875
1415.4906023721253,1732.108210231488,2.8162719313043216,-15.467353891200288,2.853365317966504,-15.466467416046326,0.9911291227725988,-12.909368515014648,145796.65625
